,file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
116,3524412324_79,0,1,1,0,1,0,0,1,1
117,3526412226_86,0,1,1,0,1,1,0,0,1
118,3426422228_02,0,1,1,1,1,0,0,0,1
119,3324412228_09,0,0,1,0,1,0,0,0,1
120,3316312224_78,0,1,1,0,1,0,0,0,1
121,3518422226_18,0,1,1,1,1,1,0,1,1
122,3526422228_02,0,1,1,0,1,1,0,1,1
123,3324312326_47,0,1,0,0,1,1,0,0,1
124,3326312324_33,0,1,1,0,1,0,0,0,1
125,3326322328_10,0,0,0,0,1,0,0,1,1
126,3528322328_10,0,1,1,1,1,0,0,1,1
127,3324422226_25,0,1,1,0,1,0,0,1,1
128,3416322226_72,0,1,1,0,1,0,0,0,1
129,3328322224_34,0,1,0,0,1,0,0,0,1
130,3326422224_13,0,1,1,0,1,0,0,0,1
131,3528322224_19,0,1,1,0,1,1,0,0,1
132,3328422324_07,0,1,1,0,1,0,0,0,1
133,3514422328_28,0,1,1,0,1,0,0,0,1
134,3514412224_34,0,0,1,0,1,0,0,0,1
135,3324322326_50,0,1,1,0,1,0,0,0,1
136,3424312226_22,0,1,1,1,1,0,0,1,1
137,3318422328_40,0,1,1,0,1,0,0,0,1
138,3418322224_60,0,1,0,0,1,0,0,0,1
139,3328312224_12,0,1,1,0,1,0,0,0,1
140,3526412328_97,0,1,1,1,0,1,0,0,1
141,3528412328_72,0,1,1,1,1,0,0,0,1
142,3516322226_56,0,1,1,0,1,1,0,1,1
143,5326412226_44,0,1,0,0,0,0,0,0,1
144,3528322328_01,0,1,1,1,1,0,0,0,1
145,3318422326_94,0,1,1,0,1,0,0,0,1
146,3516322326_17,0,1,1,1,1,0,0,1,1
147,3528412328_67,0,1,0,0,0,0,0,0,1
148,3514422226_61,0,1,1,1,1,0,0,1,1
149,3326322226_41,0,1,0,0,1,0,0,1,1
150,3324312224_90,0,1,1,1,1,0,0,0,1
151,3526312224_21,0,1,1,1,0,1,0,0,0
152,3418312228_59,0,1,1,1,1,0,0,0,1
153,3418422226_01,0,1,1,1,1,0,0,1,1
154,3516412328_31,0,1,1,1,1,1,0,1,1
155,3318422224_89,0,1,1,0,1,0,0,0,1
156,3426312324_73,0,1,1,0,1,0,0,0,1
157,3324322228_77,0,1,1,0,0,1,0,0,0
158,4418322328_44,0,1,1,0,1,0,0,0,1
159,3428422226_50,0,1,1,0,1,0,0,0,1
160,3318412328_26,0,1,1,0,1,0,0,0,1
161,3428322228_61,0,1,0,0,1,0,0,1,1
162,3428412326_76,0,1,0,0,1,1,0,0,0
163,3328422226_77,0,1,1,0,0,1,0,0,0
164,3514422328_35,0,1,1,1,1,1,0,1,1
165,3516322328_26,0,0,0,1,1,1,0,0,1
166,3514412328_42,0,1,1,0,1,0,0,0,1
167,3528412326_48,0,1,1,0,1,0,0,1,1
168,3526322326_03,0,1,1,1,1,0,0,0,1
169,3428422228_19,0,1,1,1,0,1,0,0,1
170,3526412328_43,0,1,1,0,1,0,0,1,1
171,3524322226_84,0,1,0,0,0,0,0,0,1
172,3328412326_68,0,1,1,0,1,0,0,0,1
173,3428412326_75,0,1,1,0,1,0,0,0,1
174,3518412228_46,0,1,1,0,1,1,0,0,1
175,3416422226_17,0,1,1,1,1,0,0,0,1
176,3424312226_92,0,1,1,0,1,0,0,1,1
177,3526322224_74,0,1,1,1,1,0,0,1,1
178,3324322324_47,0,1,1,0,0,1,0,0,0
179,3526412228_48,0,1,1,1,0,1,0,0,0
180,3426322228_12,0,1,1,1,1,0,0,0,1
181,3428312324_17,0,1,0,1,0,1,0,0,0
182,3418312226_65,0,1,1,0,0,1,0,0,1
183,3318422224_81,0,1,1,0,1,0,0,0,1
184,3314322328_55,0,1,1,0,1,0,0,0,1
185,3516422228_83,0,1,1,0,1,0,0,0,1
186,3316312328_38,0,1,0,0,1,0,0,1,1
187,3324312224_39,0,1,1,1,1,0,0,0,1
188,3328422228_68,0,1,1,1,1,0,0,0,1
189,3528422228_14,0,1,0,0,0,1,0,1,1
190,3418422326_21,0,1,1,0,1,0,0,0,0
191,3328322224_73,0,1,1,1,1,0,0,0,1
192,3328422328_83,0,1,1,0,1,0,0,0,1
193,3418412324_98,0,1,1,0,1,0,0,0,1
194,3426312226_45,0,1,1,1,1,0,0,1,1
195,3526312324_92,0,1,1,0,1,0,0,1,1
196,3326422326_19,0,1,1,0,1,0,0,0,1
197,3318312226_72,0,0,0,0,1,0,0,1,1
198,3316422228_11,0,1,0,0,1,1,0,0,0
199,3418422224_19,0,1,1,0,0,1,0,0,0
200,3314322328_01,0,1,1,0,1,0,0,0,1
201,3524412324_68,0,1,1,1,1,0,0,1,1
202,3428312326_12,0,1,1,0,0,1,0,0,1
203,3318312224_24,0,1,1,1,1,0,0,1,1
204,3528412328_71,0,1,1,0,0,1,0,0,0
205,3424422226_97,0,1,0,0,0,0,0,0,1
206,3314312228_69,0,1,1,1,1,0,0,1,1
207,3424422228_86,0,1,1,0,1,0,0,0,1
208,3428312226_20,0,1,1,0,1,0,0,0,1
209,3324412328_53,0,1,1,0,1,0,0,1,1
210,3416322328_32,0,1,1,1,1,0,0,1,1
211,3528322326_88,0,1,0,0,0,0,0,0,1
212,3528322224_11,0,1,1,1,1,1,0,0,1
213,3324422326_55,0,0,0,0,1,0,0,0,0
214,3316312326_00,0,1,0,0,1,0,0,0,1
215,3514422228_85,0,1,1,1,0,1,0,0,1
216,3326412328_97,0,1,1,0,1,0,0,0,1
217,3418412228_26,0,1,1,0,1,0,0,0,1
218,3316312326_51,0,1,1,0,1,0,0,0,1
219,3428422226_51,0,1,1,0,1,0,0,0,1
220,3318422324_51,0,1,1,1,0,1,0,0,0
221,3514422228_50,0,1,0,0,0,0,0,0,1
222,3428422226_49,0,1,1,0,1,1,0,1,1
223,3428422326_07,0,1,0,0,0,1,0,0,0
224,3414422228_38,0,1,1,1,1,0,0,1,1
225,3516412224_87,0,1,1,0,1,1,0,0,1
226,3418422228_37,0,1,1,0,1,0,0,0,1
227,3314412226_08,0,1,1,0,1,0,0,0,1
228,3424412228_35,0,1,1,0,0,1,0,0,0
229,3314422228_65,0,0,0,1,1,0,0,0,0
230,3524322328_88,0,1,0,0,0,0,0,0,1
231,3326322228_81,0,1,1,1,1,0,0,0,1
232,3528422226_22,0,1,0,0,0,1,0,0,1
233,3428322326_62,0,1,1,0,1,0,0,0,1
234,3314322326_70,0,1,1,0,1,1,0,0,1
235,3318422228_84,0,1,0,0,0,1,0,0,0
236,3318322224_99,0,1,1,0,1,0,0,0,1
237,3518312228_68,0,1,1,0,1,0,0,0,1
238,3524412228_72,0,1,1,0,0,1,0,0,1
239,3514412326_74,0,1,1,1,1,1,0,1,1
240,3518312326_79,0,1,1,0,1,0,0,0,1
241,3326312228_37,0,1,1,0,1,0,0,0,1
242,3314422328_68,0,0,0,0,1,0,0,0,1
243,3316422224_49,0,1,1,0,0,1,0,0,0
244,3428322224_27,0,1,1,0,0,1,0,0,0
245,3414422326_40,0,1,1,0,1,1,0,0,1
246,3524322226_30,0,1,1,0,1,0,0,1,1
247,3418322224_01,0,1,0,0,0,1,0,0,0
248,3518422228_06,0,1,1,0,1,1,0,0,1
249,3314322324_31,0,1,1,0,0,1,0,1,0
250,3516312224_49,0,1,1,0,1,0,0,0,1
251,3524322326_45,0,1,1,0,1,0,0,0,1
252,3528412324_57,0,0,0,1,1,0,0,1,1
253,3528412324_45,0,1,0,0,0,0,0,0,1
254,3514322326_76,0,1,0,0,0,0,0,0,1
255,3424312226_47,0,1,1,0,1,0,0,0,1
256,3516322224_90,0,1,1,0,1,1,0,0,1
257,3428322224_06,0,1,1,0,1,1,0,1,1
258,3314422328_76,0,1,0,1,1,0,0,1,1
259,3418412326_20,0,1,1,1,1,0,0,0,1
260,3424412328_59,0,1,1,1,1,0,0,1,1
261,3326422324_42,0,1,1,1,1,0,0,1,1
262,3518412324_42,0,1,1,0,1,1,0,0,0
263,3318322324_79,0,1,1,0,1,0,0,0,1
264,3324322326_00,0,1,0,0,1,0,0,0,1
265,3526412226_08,0,1,1,0,1,0,0,1,1
266,3318322224_50,0,1,1,0,1,0,0,0,1
267,3518312224_99,0,1,0,0,0,1,0,1,1
268,3424412328_09,0,0,0,0,1,0,0,1,1
269,3526412224_06,0,1,1,1,1,0,0,1,1
270,3316322324_17,0,1,1,0,0,1,0,0,0
271,3416322226_24,0,1,0,0,0,0,0,0,1
272,3424312326_96,0,0,0,1,1,0,0,1,1
273,3414422328_90,0,1,1,1,0,1,0,0,0
274,3428322328_50,0,1,1,1,0,1,0,0,0
